id,web_name,team,now_cost,element_type,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,dreamteam_count
663,Maddox,16,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Davies,17,53,2,1430,0,0,4,19,0,0,0,6,0,0,2,41,0
330,Vertonghen,17,52,2,1644,1,1,4,24,0,0,0,2,0,0,5,62,2
331,Alderweireld,17,53,2,2957,2,2,7,39,1,0,0,7,0,0,6,97,2
333,Sánchez,17,53,2,2431,0,2,4,37,0,0,0,6,0,0,4,64,1
334,Trippier,17,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Foyth,17,48,2,66,0,0,0,3,0,0,0,1,0,0,0,3,0
336,Aurier,17,51,2,2699,1,7,9,33,1,0,0,2,1,0,15,124,1
338,Kane,17,110,4,2588,18,2,6,36,0,0,0,4,0,0,26,158,4
339,Janssen,17,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Lloris,17,53,1,1808,0,0,6,21,0,1,0,0,0,80,13,98,1
341,Gazzaniga,17,41,1,1612,0,0,2,26,0,1,0,1,0,59,6,58,1
342,Son,17,97,3,2478,11,13,7,32,0,0,1,0,2,0,18,169,5
343,Eriksen,17,86,3,1090,2,2,1,18,0,0,0,5,0,0,6,48,0
344,Alli,17,83,3,1845,8,6,4,25,0,0,0,2,0,0,12,117,2
345,Lucas Moura,17,70,3,2235,4,5,6,29,0,0,0,3,0,0,3,100,1
346,Lamela,17,57,3,1203,2,5,5,12,0,0,0,3,0,0,2,65,1
347,Winks,17,52,3,2223,0,0,6,31,0,0,0,9,0,0,0,52,0
348,Wanyama,17,47,3,24,0,0,0,2,0,0,0,1,0,0,0,1,0
349,Sissoko,17,48,3,2451,2,1,7,31,0,0,0,8,0,0,0,69,0
350,Dier,17,48,3,1340,0,2,3,23,0,0,0,5,0,0,0,36,0
351,Amos,17,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,Skipp,17,42,3,74,0,0,0,1,0,0,0,0,0,0,0,7,0
442,Ndombele,17,58,3,1002,2,2,1,17,0,0,0,3,0,0,2,45,0
509,Parrott,17,43,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0
523,Lo Celso,17,73,3,1482,0,3,6,18,0,0,0,6,0,0,3,54,0
524,Sessegnon,17,54,3,341,0,0,0,5,0,0,0,0,0,0,0,9,0
527,Nkoudou,17,50,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
543,Whiteman,17,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Vorm,17,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Austin,17,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Tanganga,17,39,2,525,0,0,2,7,0,0,0,1,0,0,0,17,0
