,player_name,team_name,ids,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam
499,Pukki,Norwich,278,90,0,0,0,2,0,0,0,0,0,0,0,2,4.0,2.4,44.0,5.0,2,False
500,Srbeny,Norwich,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
501,Sharp,Sheffield Utd,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
502,McGoldrick,Sheffield Utd,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
503,Austin,Spurs,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
504,Ings,Southampton,313,13,0,0,0,1,0,0,0,0,0,0,0,4,1.0,10.3,44.0,5.5,1,False
505,Obafemi,Southampton,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
506,Long,Southampton,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
507,Gallagher,Southampton,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
508,Kane,Spurs,338,90,1,0,0,2,0,0,0,0,0,0,2,28,50.4,2.9,86.0,13.9,8,False
509,Janssen,Spurs,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
510,Deeney,Watford,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
511,Deulofeu,Watford,363,76,0,0,0,7,0,0,0,1,0,0,0,1,10.4,0.3,41.0,5.2,1,False
512,Gray,Watford,364,13,0,0,0,1,0,0,0,0,0,0,0,3,5.2,10.3,39.0,5.5,1,False
513,Success,Watford,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
514,Arnautovic,West Ham,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
515,Chicharito,West Ham,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
516,Xande Silva,West Ham,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
517,Jiménez,Wolves,409,75,0,0,0,1,0,0,0,0,0,0,0,14,13.2,41.6,27.0,8.2,2,False
518,Jota,Wolves,410,90,1,0,0,1,0,0,0,0,0,0,3,25,45.2,18.0,74.0,13.7,9,False
519,Wesley,Aston Villa,428,90,1,0,0,3,0,0,0,0,0,0,1,29,36.4,1.1,42.0,8.0,7,False
520,Drmic,Norwich,434,15,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3.1,2.0,0.5,1,False
521,Adams,Southampton,437,76,0,1,0,2,0,0,0,0,0,0,0,17,4.2,23.5,12.0,4.0,5,False
522,Rodriguez,Burnley,451,11,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.8,0.0,0.2,1,False
523,Haller,West Ham,457,90,0,0,1,0,0,0,0,0,0,0,0,6,8.4,4.7,8.0,2.1,2,False
524,Abraham,Chelsea,460,76,0,0,0,2,0,0,0,0,0,0,0,-5,1.4,0.8,25.0,2.7,2,False
525,Batshuayi,Chelsea,461,13,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.1,8.0,0.4,1,False
526,Brewster,Liverpool,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
527,Joelinton,Newcastle,466,90,0,0,1,0,0,0,0,0,0,0,0,2,4.6,23.8,35.0,6.3,2,False
528,Ayew,Crystal Palace,468,68,0,0,1,0,0,0,0,1,0,0,0,-2,2.6,1.8,19.0,2.3,1,False
529,Cutrone,Wolves,487,14,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,1,False
