,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
67,David Brooks,wal WAL,MF,Bournemouth,22,1997,9,8,506,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,0.4,0.14,0.07,0.21,0.14,0.21,Matches
68,Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.04,0.02,0.06,0.04,0.06,Matches
69,Emi Buendía,ar ARG,"FW,MF",Norwich City,22,1996,36,28,"2,464",1,7,0,0,6,1,0.04,0.26,0.29,0.04,0.29,2.3,2.3,7.2,0.08,0.26,0.35,0.08,0.35,Matches
70,Dan Burn,eng ENG,DF,Brighton,27,1992,34,33,"2,880",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.2,0.04,0.04,0.08,0.04,0.08,Matches
71,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,"1,293",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,0.08,0.04,0.12,0.08,0.12,Matches
72,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
73,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,"2,167",0,1,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.2,1.2,0.2,0.05,0.01,0.06,0.05,0.06,Matches
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,"2,626",13,1,0,0,9,0,0.45,0.03,0.48,0.45,0.48,13.9,13.9,1.0,0.48,0.03,0.51,0.48,0.51,Matches
75,Víctor Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,João Cancelo,pt POR,DF,Manchester City,25,1994,17,13,"1,208",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,0.04,0.13,0.17,0.04,0.17,Matches
