Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,20,10,893,1,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,0.5,0.5,0.1,0.05,0.01,0.05,0.05,0.05,Matches
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,21,21,1751,0,0,0,0,5,0,0,0,0,0,0,0.7,0.7,1.1,0.04,0.06,0.09,0.04,0.09,Matches
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1186,2,0,0,0,3,0,0.15,0,0.15,0.15,0.15,1.3,1.3,0,0.1,0,0.1,0.1,0.1,Matches
Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1,0,1,1,1,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,1,0,0,0,2,0,0.09,0,0.09,0.09,0.09,1.6,1.6,0.5,0.14,0.05,0.19,0.14,0.19,Matches
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38,38,3420,0,0,0,0,5,0,0,0,0,0,0,0,0,0.7,0,0.02,0.02,0,0.02,Matches
Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,27,21,1839,0,1,0,0,5,1,0,0.05,0.05,0,0.05,0.7,0.7,0.5,0.03,0.02,0.06,0.03,0.06,Matches
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,24,14,1258,3,1,0,0,0,0,0.21,0.07,0.29,0.21,0.29,3.1,3.1,0.3,0.22,0.02,0.24,0.22,0.24,Matches
Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,27,14,1352,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.9,0.02,0.06,0.08,0.02,0.08,Matches
Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,29,28,2428,1,0,0,0,6,1,0.04,0,0.04,0.04,0.04,0.8,0.8,0.3,0.03,0.01,0.04,0.03,0.04,Matches
